2026-01-21 06:49:28,386 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:49:29,757 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:49:29,757 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:49:29,815 | UI_COVERAGE_TRACKER_STORAGE | INFO | Results directory does not exist, creating: /home/runner/work/autotests-ui/autotests-ui/coverage-results
2026-01-21 06:49:29,815 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:49:29,815 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:49:29,871 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:49:29,871 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:49:29,972 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:49:29,973 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:49:29,999 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:49:29,999 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:49:30,123 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:49:30,124 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:49:30,150 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:49:30,150 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
