2026-01-20 18:21:09,633 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-20 18:21:10,989 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:21:10,989 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-20 18:21:11,026 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:21:11,027 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-20 18:21:11,042 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 18:21:11,042 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-20 18:21:11,064 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 18:21:11,064 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-20 18:21:11,076 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-20 18:21:11,076 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 18:21:11,088 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-20 18:21:11,088 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 18:21:11,100 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-20 18:21:11,100 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-20 18:21:11,113 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-20 18:21:11,113 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-20 18:21:11,123 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-20 18:21:11,123 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
