2026-01-24 12:29:30,904 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-24 12:29:32,080 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:32,080 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-24 12:29:32,125 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-24 12:29:32,126 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-24 12:29:32,150 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:32,150 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-24 12:29:32,166 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-24 12:29:32,166 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-24 12:29:32,182 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-24 12:29:32,182 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:32,194 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:32,194 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:32,202 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:32,202 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-24 12:29:32,210 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-24 12:29:32,210 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:32,219 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-24 12:29:32,219 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:32,227 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:32,227 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:32,235 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:32,235 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-24 12:29:32,243 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-24 12:29:32,243 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:32,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-24 12:29:32,250 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-24 12:29:32,258 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:32,258 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-24 12:29:32,265 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-24 12:29:32,266 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-24 12:29:32,273 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-24 12:29:32,273 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-24 12:29:32,281 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-24 12:29:32,281 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-24 12:29:32,289 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-24 12:29:32,289 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-24 12:29:32,297 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-24 12:29:32,297 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-24 12:29:32,304 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-icon" at index "0"
2026-01-24 12:29:32,304 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-24 12:29:32,312 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-24 12:29:32,312 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-24 12:29:32,320 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-24 12:29:32,320 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no results"
2026-01-24 12:29:32,328 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-24 12:29:32,328 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-24 12:29:32,345 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-24 12:29:32,345 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Results from the load test pipeline will be displayed here"
