2026-01-21 06:23:45,674 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:23:47,255 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:47,255 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:23:47,312 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:47,313 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:23:47,367 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:47,367 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:23:47,514 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:47,514 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:23:47,580 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:23:47,580 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:23:47,791 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:47,791 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:23:47,806 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:47,806 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
