2026-01-21 06:23:52,888 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:23:54,178 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-21 06:23:54,178 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-21 06:23:54,240 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-21 06:23:54,261 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:23:54,262 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-21 06:23:54,284 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:23:54,284 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-21 06:23:54,300 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:23:54,300 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-21 06:23:54,323 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:23:54,323 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-21 06:23:54,337 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:23:54,337 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-21 06:23:54,348 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:23:54,348 | INPUT | INFO | Checking that input "Password" has a value ""
