2026-01-21 06:49:39,013 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:49:40,372 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:49:40,373 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-21 06:49:40,424 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:49:40,424 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-21 06:49:40,451 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:49:40,452 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:49:40,558 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:49:40,558 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:49:40,612 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:49:40,613 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:49:40,908 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:49:40,908 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:49:40,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:49:40,963 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
