2026-01-28 05:44:28,374 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-28 05:44:29,616 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:29,616 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-28 05:44:29,703 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:29,703 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-28 05:44:29,739 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:29,739 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-28 05:44:29,831 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:29,832 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-28 05:44:29,868 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:29,868 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-28 05:44:29,941 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:29,941 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-28 05:44:29,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-28 05:44:29,963 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-28 05:44:30,083 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-28 05:44:30,083 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-28 05:44:30,274 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-28 05:44:30,274 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-28 05:44:30,321 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-28 05:44:30,321 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-28 05:44:30,346 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-28 05:44:30,347 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-28 05:44:30,382 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-28 05:44:30,382 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-28 05:44:30,420 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-28 05:44:30,421 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-28 05:44:30,440 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-28 05:44:30,440 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-28 05:44:30,463 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-28 05:44:30,463 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-28 05:44:30,511 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-28 05:44:30,511 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-28 05:44:30,546 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-28 05:44:30,546 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-28 05:44:30,583 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-28 05:44:30,584 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-28 05:44:30,613 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-28 05:44:30,613 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-28 05:44:30,629 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-28 05:44:30,629 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-28 05:44:30,647 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-28 05:44:30,647 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-28 05:44:30,667 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-28 05:44:30,667 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-28 05:44:30,690 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-28 05:44:30,690 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-28 05:44:30,708 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
