2026-01-20 18:20:54,458 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 18:20:55,603 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:55,603 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 18:20:55,642 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:55,643 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 18:20:55,652 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:55,652 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 18:20:55,669 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:55,669 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 18:20:55,678 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:55,678 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:55,694 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:55,694 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:55,703 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 18:20:55,703 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 18:20:55,946 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-20 18:20:57,344 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:20:57,344 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-20 18:20:57,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 18:20:57,385 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-20 18:20:57,395 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 18:20:57,395 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-20 18:20:57,404 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 18:20:57,404 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-20 18:20:57,416 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-20 18:20:57,416 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 18:20:57,425 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:57,425 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 18:20:57,434 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:57,434 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-20 18:20:57,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-20 18:20:57,444 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-20 18:20:57,453 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-20 18:20:57,453 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 18:20:57,465 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:57,465 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 18:20:57,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:57,476 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-20 18:20:57,485 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-20 18:20:57,485 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-20 18:20:57,494 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-20 18:20:57,494 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 18:20:57,502 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:57,502 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 18:20:57,509 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-20 18:20:57,509 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-20 18:20:57,519 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-20 18:20:57,519 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-20 18:20:57,527 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-20 18:20:57,527 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-20 18:20:57,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-20 18:20:57,535 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-20 18:20:57,543 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-20 18:20:57,543 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-20 18:20:57,552 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-icon" at index "0"
2026-01-20 18:20:57,552 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-20 18:20:57,563 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-20 18:20:57,563 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 18:20:57,571 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-20 18:20:57,571 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no results"
2026-01-20 18:20:57,579 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-20 18:20:57,579 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 18:20:57,587 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-20 18:20:57,587 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Results from the load test pipeline will be displayed here"
