2026-01-21 13:07:58,052 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-01-21 13:07:59,370 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 13:07:59,371 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 13:07:59,428 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 13:07:59,428 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 13:07:59,450 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 13:07:59,450 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 13:07:59,465 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 13:07:59,466 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 13:07:59,478 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 13:07:59,478 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 13:07:59,493 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:59,493 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 13:07:59,508 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:59,508 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 13:07:59,524 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 13:07:59,524 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 13:07:59,540 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 13:07:59,540 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 13:07:59,553 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:59,553 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 13:07:59,565 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:59,565 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 13:07:59,575 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 13:07:59,575 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 13:07:59,584 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-21 13:07:59,584 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 13:07:59,593 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:59,593 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 13:07:59,602 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:59,602 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-21 13:07:59,611 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-21 13:07:59,612 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 13:07:59,621 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:07:59,621 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:59,633 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:07:59,633 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 13:07:59,643 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 13:07:59,643 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:59,652 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2026-01-21 13:07:59,652 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2026-01-21 13:07:59,663 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2026-01-21 13:07:59,663 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 13:07:59,677 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 13:07:59,677 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:59,689 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2026-01-21 13:07:59,689 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-01-21 13:07:59,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2026-01-21 13:07:59,702 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 13:07:59,717 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-01-21 13:07:59,717 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:59,734 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2026-01-21 13:07:59,734 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
2026-01-21 13:07:59,763 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-bar-chart" at index "0"
2026-01-21 13:07:59,764 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2026-01-21 13:07:59,781 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-01-21 13:07:59,781 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:59,798 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2026-01-21 13:07:59,798 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Activities"
2026-01-21 13:07:59,813 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-line-chart" at index "0"
2026-01-21 13:07:59,814 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
