2025-12-24 17:24:08,629 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2025-12-24 17:24:10,099 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-24 17:24:10,099 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-12-24 17:24:10,164 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-24 17:24:10,164 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-12-24 17:24:10,192 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-24 17:24:10,192 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-12-24 17:24:10,217 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-24 17:24:10,217 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2025-12-24 17:24:10,265 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2025-12-24 17:24:10,265 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-24 17:24:10,317 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:10,317 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-24 17:24:10,330 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:10,330 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2025-12-24 17:24:10,350 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2025-12-24 17:24:10,350 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-24 17:24:10,366 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2025-12-24 17:24:10,366 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-24 17:24:10,385 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:10,385 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-24 17:24:10,400 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:10,401 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2025-12-24 17:24:10,415 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2025-12-24 17:24:10,415 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-24 17:24:10,430 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2025-12-24 17:24:10,430 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-24 17:24:10,441 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:10,441 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-24 17:24:10,461 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2025-12-24 17:24:10,462 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2025-12-24 17:24:10,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2025-12-24 17:24:10,476 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2025-12-24 17:24:10,494 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:24:10,494 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:10,505 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:24:10,505 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2025-12-24 17:24:10,518 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2025-12-24 17:24:10,518 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:10,530 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2025-12-24 17:24:10,531 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2025-12-24 17:24:10,547 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2025-12-24 17:24:10,547 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2025-12-24 17:24:10,567 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2025-12-24 17:24:10,567 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:10,585 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2025-12-24 17:24:10,585 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2025-12-24 17:24:10,602 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2025-12-24 17:24:10,602 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2025-12-24 17:24:10,616 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2025-12-24 17:24:10,616 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:10,638 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2025-12-24 17:24:10,638 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
2025-12-24 17:24:10,650 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-bar-chart" at index "0"
2025-12-24 17:24:10,651 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2025-12-24 17:24:10,672 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2025-12-24 17:24:10,672 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:10,686 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2025-12-24 17:24:10,686 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Activities"
2025-12-24 17:24:10,706 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-line-chart" at index "0"
2025-12-24 17:24:10,706 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
