2026-01-21 06:30:42,477 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:30:43,742 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-21 06:30:43,742 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-21 06:30:43,798 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-21 06:30:43,833 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:43,833 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-21 06:30:43,855 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:43,855 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-21 06:30:43,882 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:43,882 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-21 06:30:43,898 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:43,898 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-21 06:30:43,911 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:43,911 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-21 06:30:43,920 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:43,920 | INPUT | INFO | Checking that input "Password" has a value ""
