2026-01-21 13:07:50,922 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 13:07:52,094 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 13:07:52,095 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:52,123 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 13:07:52,123 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-21 13:07:52,146 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 13:07:52,147 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 13:07:52,158 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-21 13:07:52,158 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 13:07:52,168 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 13:07:52,168 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 13:07:52,176 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:52,176 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:52,185 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:52,185 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 13:07:52,193 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:52,193 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:52,203 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:52,203 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 13:07:52,216 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 13:07:52,216 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 13:07:52,227 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-21 13:07:52,227 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 13:07:52,241 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 13:07:52,241 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 13:07:52,256 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 13:07:52,256 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-21 13:07:52,267 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 13:07:52,267 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 13:07:52,276 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 13:07:52,276 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-21 13:07:52,285 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 13:07:52,285 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-21 13:07:52,298 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 13:07:52,299 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-21 13:07:52,312 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 13:07:52,312 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-21 13:07:52,325 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 13:07:52,325 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-21 13:07:52,336 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 13:07:52,336 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
2026-01-21 13:07:52,346 | TEXTAREA | INFO | Check have textarea "Description" to value ""
2026-01-21 13:07:52,346 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 13:07:52,357 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 13:07:52,357 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-01-21 13:07:52,368 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 13:07:52,368 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-01-21 13:07:52,378 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 13:07:52,378 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2026-01-21 13:07:52,389 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 13:07:52,389 | INPUT | INFO | Checking that input "Min score" has a value "0"
2026-01-21 13:07:52,400 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-21 13:07:52,400 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:52,416 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-21 13:07:52,416 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2026-01-21 13:07:52,430 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2026-01-21 13:07:52,430 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2026-01-21 13:07:52,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2026-01-21 13:07:52,444 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 13:07:52,461 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-21 13:07:52,461 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 13:07:52,475 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-21 13:07:52,475 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no exercises"
2026-01-21 13:07:52,494 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-21 13:07:52,494 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 13:07:52,512 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-21 13:07:52,512 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Click on "Create exercise" button to create new exercise"
2026-01-21 13:07:52,524 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 13:07:52,524 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 13:07:52,616 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 13:07:52,616 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 13:07:52,633 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:52,634 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:52,652 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:52,653 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 13:07:52,673 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:52,673 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:52,704 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:52,704 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 13:07:52,719 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 13:07:52,719 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 13:07:52,738 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 13:07:52,738 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 13:07:52,751 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 13:07:52,751 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 13:07:52,777 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 13:07:52,777 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 13:07:52,810 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 13:07:52,810 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-21 13:07:52,825 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 13:07:52,825 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-21 13:07:52,891 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 13:07:52,891 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-21 13:07:52,904 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-21 13:07:52,905 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 13:07:52,942 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-21 13:07:52,942 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 13:07:52,955 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 13:07:52,955 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-21 13:07:52,987 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 13:07:52,987 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-21 13:07:53,001 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 13:07:53,001 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-21 13:07:53,032 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 13:07:53,032 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-01-21 13:07:53,044 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 13:07:53,044 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-21 13:07:53,123 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 13:07:53,123 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 13:07:53,155 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 13:07:53,156 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-21 13:07:53,170 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-21 13:07:53,170 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 13:07:53,187 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-21 13:07:53,187 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 13:07:53,229 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 13:07:53,229 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:53,243 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
