2026-01-21 13:07:39,492 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 13:07:40,879 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:40,879 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 13:07:40,977 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:40,977 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 13:07:41,028 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:41,028 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-21 13:07:41,136 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:41,136 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-21 13:07:41,189 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 13:07:41,189 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 13:07:41,375 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:41,375 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 13:07:41,401 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:41,401 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
