2026-01-21 06:08:09,669 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:08:11,221 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:08:11,221 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:08:11,296 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:08:11,296 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:08:11,316 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:08:11,316 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:08:11,424 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:08:11,424 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:08:11,457 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:08:11,457 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:08:11,560 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:08:11,560 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:08:11,599 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:08:11,599 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
