2026-01-21 06:30:52,501 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:30:53,669 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 06:30:53,669 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:30:53,705 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:30:53,706 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:30:53,767 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:53,767 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:53,786 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:53,786 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:30:53,805 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:53,805 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:53,819 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:53,819 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:30:53,831 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:30:53,832 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:30:53,841 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 06:30:53,841 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 06:30:53,853 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 06:30:53,854 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:30:53,872 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:30:53,872 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 06:30:53,899 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:30:53,900 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
