2026-01-24 12:29:34,767 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-24 12:29:36,109 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-24 12:29:36,109 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-24 12:29:36,147 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-24 12:29:36,147 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-24 12:29:36,159 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-24 12:29:36,159 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-24 12:29:36,171 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-24 12:29:36,171 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-24 12:29:36,198 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-24 12:29:36,198 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-24 12:29:36,217 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-24 12:29:36,217 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-24 12:29:36,230 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-24 12:29:36,230 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-24 12:29:36,240 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-24 12:29:36,240 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-24 12:29:36,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-24 12:29:36,250 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-24 12:29:36,262 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-24 12:29:36,262 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-24 12:29:36,270 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
