2026-01-28 05:44:16,381 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-28 05:44:17,735 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:17,735 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-28 05:44:17,789 | UI_COVERAGE_TRACKER_STORAGE | INFO | Results directory does not exist, creating: /home/runner/work/autotests-ui/autotests-ui/coverage-results
2026-01-28 05:44:17,789 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:17,789 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-28 05:44:17,828 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:17,829 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-28 05:44:17,916 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:17,916 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-28 05:44:17,946 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-28 05:44:17,946 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-28 05:44:18,111 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:18,111 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-28 05:44:18,135 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:18,136 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
