2026-01-28 05:44:34,047 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-28 05:44:35,257 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:35,257 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-28 05:44:35,308 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:35,308 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-28 05:44:35,332 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:35,332 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-28 05:44:35,406 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:35,406 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-28 05:44:35,436 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:35,436 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-28 05:44:35,524 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:35,524 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-28 05:44:35,542 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-28 05:44:35,542 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-28 05:44:35,745 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-28 05:44:35,745 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-28 05:44:36,132 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-28 05:44:36,133 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
