2026-01-21 06:49:45,454 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:49:46,744 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:46,745 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:49:46,795 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:46,795 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:49:46,813 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:46,814 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:49:46,853 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:46,854 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:49:46,877 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:46,878 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:49:46,918 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:46,918 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:49:46,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:49:46,933 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:49:47,088 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:49:47,088 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:49:47,321 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:49:47,322 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
