2026-01-21 06:49:47,880 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:49:49,092 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:49,093 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:49:49,194 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:49,194 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:49:49,217 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:49,218 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:49:49,358 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:49,358 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:49:49,419 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:49,420 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:49:49,551 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:49,552 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:49:49,590 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:49:49,590 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:49:49,853 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:49:49,853 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:49:50,239 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:49:50,239 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
