2026-01-20 18:20:52,105 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 18:20:53,386 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:53,386 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 18:20:53,464 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:53,464 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 18:20:53,483 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:53,483 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 18:20:53,562 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:53,563 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 18:20:53,603 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:53,603 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 18:20:53,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:53,702 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 18:20:53,726 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 18:20:53,726 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 18:20:53,866 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:53,867 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 18:20:54,140 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-20 18:20:54,141 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
