2026-01-21 06:49:41,482 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:49:42,812 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:42,812 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:49:42,886 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:42,886 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:49:42,902 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:42,902 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:49:42,982 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:42,983 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:49:43,006 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:43,007 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:49:43,067 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:43,067 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:49:43,094 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:49:43,094 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:49:43,210 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:49:43,211 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:49:43,403 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:49:43,403 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:49:43,433 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:49:43,433 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:49:43,463 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:49:43,463 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:49:43,498 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:49:43,498 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:49:43,539 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:49:43,539 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:49:43,581 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:49:43,581 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:49:43,609 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:49:43,609 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:49:43,640 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:49:43,640 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:49:43,660 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:49:43,660 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:49:43,683 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:49:43,684 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:49:43,710 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:49:43,711 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:49:43,742 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:49:43,742 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 06:49:43,768 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 06:49:43,768 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:49:43,793 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
