2025-12-24 17:23:36,694 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-24 17:23:38,173 | INPUT | INFO | Fill input "Email" to value "  "
2025-12-24 17:23:38,173 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:38,267 | INPUT | INFO | Check that input "Email" has a value "  "
2025-12-24 17:23:38,267 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:38,324 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-24 17:23:38,325 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:38,422 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-24 17:23:38,422 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:38,458 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-24 17:23:38,458 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-24 17:23:38,628 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:38,628 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-24 17:23:38,678 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:38,678 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
