2026-01-20 19:32:45,528 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 19:32:47,066 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:47,066 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-20 19:32:47,132 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:47,132 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-20 19:32:47,163 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:47,163 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 19:32:47,269 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:47,270 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 19:32:47,335 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 19:32:47,335 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 19:32:47,490 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:47,490 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 19:32:47,536 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:47,537 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
