2026-01-21 06:30:52,870 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:30:54,022 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:30:54,022 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:54,066 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:30:54,066 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-21 06:30:54,084 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:30:54,084 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:30:54,102 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-21 06:30:54,102 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:30:54,123 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:30:54,124 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:30:54,144 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:54,145 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:54,159 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:54,160 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:30:54,171 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:54,172 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:54,184 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:54,185 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:30:54,199 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:30:54,199 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:30:54,214 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-21 06:30:54,214 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 06:30:54,275 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:30:54,275 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:30:54,291 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:30:54,292 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-21 06:30:54,307 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:30:54,307 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:30:54,323 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:30:54,323 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-21 06:30:54,341 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:30:54,341 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-21 06:30:54,368 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:30:54,368 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-21 06:30:54,387 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:30:54,387 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-21 06:30:54,404 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:30:54,404 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-21 06:30:54,422 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:30:54,422 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
2026-01-21 06:30:54,439 | TEXTAREA | INFO | Check have textarea "Description" to value ""
2026-01-21 06:30:54,439 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:30:54,454 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:30:54,454 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-01-21 06:30:54,466 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:30:54,467 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-01-21 06:30:54,477 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:30:54,477 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2026-01-21 06:30:54,486 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:30:54,486 | INPUT | INFO | Checking that input "Min score" has a value "0"
2026-01-21 06:30:54,495 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-21 06:30:54,495 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:30:54,503 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-21 06:30:54,503 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2026-01-21 06:30:54,511 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2026-01-21 06:30:54,511 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2026-01-21 06:30:54,526 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2026-01-21 06:30:54,526 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 06:30:54,538 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-21 06:30:54,539 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:30:54,553 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-21 06:30:54,553 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no exercises"
2026-01-21 06:30:54,569 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-21 06:30:54,569 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:30:54,582 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-21 06:30:54,582 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Click on "Create exercise" button to create new exercise"
2026-01-21 06:30:54,592 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 06:30:54,593 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:30:54,611 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:30:54,611 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:30:54,685 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:54,685 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:54,706 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:30:54,706 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:30:54,720 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:54,721 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:30:54,735 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:30:54,735 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:30:54,748 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:30:54,749 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:30:54,762 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 06:30:54,762 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 06:30:54,779 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 06:30:54,779 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:30:54,810 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:30:54,810 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 06:30:54,887 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:30:54,887 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-21 06:30:54,919 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:30:54,919 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-21 06:30:55,013 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:30:55,014 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-21 06:30:55,049 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-21 06:30:55,049 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:30:55,146 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-21 06:30:55,146 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:30:55,219 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:30:55,219 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-21 06:30:55,407 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:30:55,407 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-21 06:30:55,432 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:30:55,432 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-21 06:30:55,559 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:30:55,559 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-01-21 06:30:55,607 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:30:55,607 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-21 06:30:55,786 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:30:55,786 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 06:30:55,967 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
