2026-01-21 06:49:28,380 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:49:29,760 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:49:29,761 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-21 06:49:29,818 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:49:29,818 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-21 06:49:29,847 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:49:29,847 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:49:29,947 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:49:29,947 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:49:29,988 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:49:29,988 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:49:30,153 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:49:30,153 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:49:30,192 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:49:30,192 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
