2026-01-21 06:23:48,378 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:23:49,654 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:49,654 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-21 06:23:49,761 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:49,762 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-21 06:23:49,808 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:49,809 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:23:49,975 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:49,976 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:23:50,025 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:23:50,026 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:23:50,235 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:50,235 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:23:50,261 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:50,261 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
