2026-01-24 12:29:20,047 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-24 12:29:21,262 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:21,262 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-24 12:29:21,341 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-24 12:29:21,342 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-24 12:29:21,404 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:21,404 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-24 12:29:21,474 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-24 12:29:21,475 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-24 12:29:21,495 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-24 12:29:21,495 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-24 12:29:21,674 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:21,674 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-24 12:29:21,701 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-24 12:29:21,702 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
