2026-01-20 19:32:59,848 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 19:33:01,151 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-20 19:33:01,151 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-20 19:33:01,235 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-20 19:33:01,279 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:01,280 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-20 19:33:01,324 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:01,325 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-20 19:33:01,357 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:01,357 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-20 19:33:01,383 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:01,383 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-20 19:33:01,398 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:01,398 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-20 19:33:01,413 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:01,414 | INPUT | INFO | Checking that input "Password" has a value ""
