2026-01-20 18:20:50,218 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 18:20:51,700 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-20 18:20:51,700 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-20 18:20:51,801 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-20 18:20:51,838 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:51,838 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-20 18:20:51,871 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:51,871 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-20 18:20:51,882 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:51,883 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-20 18:20:51,891 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:51,891 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-20 18:20:51,901 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:51,901 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-20 18:20:51,909 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:51,909 | INPUT | INFO | Checking that input "Password" has a value ""
