2026-01-20 19:33:06,456 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-20 19:33:07,426 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:07,426 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 19:33:07,475 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 19:33:07,476 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 19:33:07,493 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:07,493 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-20 19:33:07,527 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 19:33:07,527 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-20 19:33:07,539 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:07,539 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 19:33:07,557 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 19:33:07,558 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 19:33:07,568 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-20 19:33:07,568 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-20 19:33:08,333 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-20 19:33:09,446 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 19:33:09,446 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-20 19:33:09,478 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-20 19:33:09,478 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-20 19:33:09,492 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 19:33:09,492 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-20 19:33:09,501 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-20 19:33:09,502 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-20 19:33:09,514 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-20 19:33:09,514 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 19:33:09,526 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-20 19:33:09,527 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 19:33:09,542 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-20 19:33:09,542 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-20 19:33:09,555 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-20 19:33:09,555 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-20 19:33:09,569 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-20 19:33:09,569 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 19:33:09,582 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-20 19:33:09,583 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 19:33:09,596 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-20 19:33:09,596 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-20 19:33:09,623 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-20 19:33:09,623 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-20 19:33:09,641 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-20 19:33:09,642 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-20 19:33:09,657 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-20 19:33:09,657 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-20 19:33:09,671 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-20 19:33:09,672 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-20 19:33:09,686 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
