2025-12-24 17:24:08,368 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-24 17:24:09,878 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2025-12-24 17:24:09,878 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-24 17:24:09,921 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-24 17:24:09,921 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-24 17:24:09,999 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-24 17:24:09,999 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-24 17:24:10,015 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-24 17:24:10,015 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-24 17:24:10,096 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-24 17:24:10,096 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-24 17:24:10,112 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-24 17:24:10,112 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2025-12-24 17:24:10,129 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-24 17:24:10,129 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2025-12-24 17:24:10,144 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2025-12-24 17:24:10,144 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2025-12-24 17:24:10,160 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2025-12-24 17:24:10,160 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-12-24 17:24:10,196 | INPUT | INFO | Fill input "Title" to value "Playwright"
2025-12-24 17:24:10,196 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:10,259 | INPUT | INFO | Check that input "Title" has a value "Playwright"
2025-12-24 17:24:10,259 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:10,287 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2025-12-24 17:24:10,287 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:10,558 | INPUT | INFO | Check that input "Estimated time" has a value "2 weeks"
2025-12-24 17:24:10,559 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:10,573 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2025-12-24 17:24:10,573 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:10,946 | TEXTAREA | INFO | Check have textarea "Description" to value
2025-12-24 17:24:10,946 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:10,961 | INPUT | INFO | Fill input "Max score" to value "100"
2025-12-24 17:24:10,961 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-24 17:24:10,995 | INPUT | INFO | Check that input "Max score" has a value "100"
2025-12-24 17:24:10,995 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-24 17:24:11,008 | INPUT | INFO | Fill input "Min score" to value "10"
2025-12-24 17:24:11,008 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-12-24 17:24:11,296 | INPUT | INFO | Check that input "Min score" has a value "10"
2025-12-24 17:24:11,296 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-12-24 17:24:11,308 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-24 17:24:11,308 | BASE_ELEMENT | INFO | Clicking button "Create course"
2025-12-24 17:24:11,611 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-12-24 17:24:11,612 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2025-12-24 17:24:11,721 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-12-24 17:24:11,721 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2025-12-24 17:24:11,729 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2025-12-24 17:24:11,729 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-12-24 17:24:11,738 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2025-12-24 17:24:11,738 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-12-24 17:24:11,760 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-12-24 17:24:11,760 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:11,772 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-12-24 17:24:11,773 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2025-12-24 17:24:11,918 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-12-24 17:24:11,918 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2025-12-24 17:24:11,927 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-12-24 17:24:11,927 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2025-12-24 17:24:11,936 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-12-24 17:24:11,936 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2025-12-24 17:24:11,946 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-12-24 17:24:11,946 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2025-12-24 17:24:11,954 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-12-24 17:24:11,954 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2025-12-24 17:24:11,962 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-12-24 17:24:11,962 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2025-12-24 17:24:11,971 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2025-12-24 17:24:11,971 | BASE_ELEMENT | INFO | Clicking button "Menu"
2025-12-24 17:24:12,034 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2025-12-24 17:24:12,035 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2025-12-24 17:24:12,072 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2025-12-24 17:24:12,072 | BASE_ELEMENT | INFO | Clicking button "Edit"
2025-12-24 17:24:12,427 | INPUT | INFO | Fill input "Title" to value "New Playwright"
2025-12-24 17:24:12,427 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:12,479 | INPUT | INFO | Check that input "Title" has a value "New Playwright"
2025-12-24 17:24:12,479 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:12,498 | INPUT | INFO | Fill input "Estimated time" to value "3 weeks"
2025-12-24 17:24:12,498 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:12,650 | INPUT | INFO | Check that input "Estimated time" has a value "3 weeks"
2025-12-24 17:24:12,650 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:12,780 | TEXTAREA | INFO | Fill textarea "Description" to value "New Playwright"
2025-12-24 17:24:12,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:12,811 | TEXTAREA | INFO | Check have textarea "Description" to value
2025-12-24 17:24:12,811 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:12,936 | INPUT | INFO | Fill input "Max score" to value "1000"
