2026-01-21 06:49:45,367 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:49:46,856 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-21 06:49:46,856 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-21 06:49:46,995 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-21 06:49:47,066 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:47,066 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-21 06:49:47,114 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:49:47,114 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-21 06:49:47,173 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:47,173 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-21 06:49:47,197 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:49:47,197 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-21 06:49:47,218 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:47,218 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-21 06:49:47,257 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:49:47,257 | INPUT | INFO | Checking that input "Password" has a value ""
