2026-01-28 05:44:37,653 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-28 05:44:38,858 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-28 05:44:38,858 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-28 05:44:38,910 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-28 05:44:38,910 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-28 05:44:38,926 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-28 05:44:38,926 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-28 05:44:38,942 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-28 05:44:38,943 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-28 05:44:38,970 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-28 05:44:38,970 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-28 05:44:38,990 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:38,990 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:39,009 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:39,009 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-28 05:44:39,022 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:39,022 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:39,041 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:39,042 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-28 05:44:39,054 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:39,054 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-28 05:44:39,070 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-28 05:44:39,070 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-28 05:44:39,086 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-28 05:44:39,087 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-28 05:44:39,101 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-28 05:44:39,101 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-28 05:44:39,112 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-28 05:44:39,112 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-28 05:44:39,125 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-28 05:44:39,125 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-28 05:44:39,133 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:39,133 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-28 05:44:39,141 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:39,142 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-28 05:44:39,149 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:39,149 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-28 05:44:39,157 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:39,157 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-28 05:44:39,165 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:39,165 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
2026-01-28 05:44:39,172 | TEXTAREA | INFO | Check have textarea "Description" to value ""
2026-01-28 05:44:39,173 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:39,180 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:39,180 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2026-01-28 05:44:39,188 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:39,188 | INPUT | INFO | Checking that input "Max score" has a value "0"
2026-01-28 05:44:39,196 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:39,196 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2026-01-28 05:44:39,203 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:39,204 | INPUT | INFO | Checking that input "Min score" has a value "0"
2026-01-28 05:44:39,211 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-28 05:44:39,211 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-28 05:44:39,219 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2026-01-28 05:44:39,219 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2026-01-28 05:44:39,226 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2026-01-28 05:44:39,226 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
2026-01-28 05:44:39,234 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-icon" at index "0"
2026-01-28 05:44:39,234 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-28 05:44:39,242 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-28 05:44:39,242 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-28 05:44:39,249 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-title-text" at index "0"
2026-01-28 05:44:39,249 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no exercises"
2026-01-28 05:44:39,257 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-28 05:44:39,257 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-28 05:44:39,266 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-empty-view-description-text" at index "0"
2026-01-28 05:44:39,266 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Click on "Create exercise" button to create new exercise"
2026-01-28 05:44:39,274 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-28 05:44:39,274 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:39,288 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-28 05:44:39,288 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-28 05:44:39,324 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:39,324 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:39,333 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:39,333 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-28 05:44:39,344 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:39,344 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:39,359 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:39,359 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-28 05:44:39,372 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:39,373 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-28 05:44:39,383 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-28 05:44:39,383 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-28 05:44:39,391 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-28 05:44:39,391 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-28 05:44:39,411 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:39,411 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-28 05:44:39,441 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:39,442 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-28 05:44:39,453 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:39,453 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-28 05:44:39,487 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:39,487 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-28 05:44:39,499 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-28 05:44:39,499 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:39,533 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-28 05:44:39,534 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:39,544 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:39,544 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-28 05:44:39,577 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:39,578 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-28 05:44:39,596 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:39,597 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-28 05:44:39,640 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:39,640 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-01-28 05:44:39,656 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-28 05:44:39,656 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-28 05:44:39,774 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-28 05:44:39,774 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-28 05:44:39,813 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-28 05:44:39,813 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-28 05:44:39,829 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-28 05:44:39,829 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-28 05:44:39,842 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-28 05:44:39,842 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-28 05:44:39,870 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-28 05:44:39,870 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
