2025-12-24 17:23:48,175 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-12-24 17:23:49,525 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-24 17:23:49,526 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:49,583 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-24 17:23:49,584 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-12-24 17:23:49,598 | INPUT | INFO | Fill input "Username" to value "username"
2025-12-24 17:23:49,598 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:49,693 | INPUT | INFO | Check that input "Username" has a value "username"
2025-12-24 17:23:49,693 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-12-24 17:23:49,711 | INPUT | INFO | Fill input "Password" to value "password"
2025-12-24 17:23:49,711 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-24 17:23:49,760 | INPUT | INFO | Check that input "Password" has a value "password"
2025-12-24 17:23:49,760 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-12-24 17:23:49,785 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-12-24 17:23:49,785 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-12-24 17:23:49,914 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:23:49,914 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:23:50,145 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-12-24 17:23:50,145 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2025-12-24 17:23:50,174 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-24 17:23:50,175 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-12-24 17:23:50,213 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-12-24 17:23:50,214 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-12-24 17:23:50,251 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-24 17:23:50,252 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-12-24 17:23:50,278 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-12-24 17:23:50,278 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2025-12-24 17:23:50,318 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2025-12-24 17:23:50,318 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2025-12-24 17:23:50,341 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-24 17:23:50,341 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2025-12-24 17:23:50,393 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-12-24 17:23:50,393 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
