2026-01-21 13:07:50,176 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 13:07:51,154 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:51,154 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 13:07:51,208 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:51,208 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 13:07:51,217 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:51,217 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 13:07:51,237 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:51,237 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 13:07:51,246 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:51,246 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 13:07:51,264 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:51,264 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 13:07:51,274 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 13:07:51,274 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 13:07:52,023 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-21 13:07:53,176 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 13:07:53,176 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 13:07:53,233 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 13:07:53,234 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 13:07:53,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 13:07:53,250 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 13:07:53,261 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 13:07:53,262 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 13:07:53,277 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 13:07:53,277 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 13:07:53,297 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:53,297 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 13:07:53,313 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:53,313 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 13:07:53,326 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 13:07:53,326 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 13:07:53,337 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 13:07:53,337 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 13:07:53,346 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:53,347 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 13:07:53,358 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:53,358 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 13:07:53,369 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 13:07:53,369 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 13:07:53,379 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-21 13:07:53,379 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 13:07:53,388 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:53,388 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 13:07:53,398 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 13:07:53,398 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-21 13:07:53,408 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-21 13:07:53,408 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 13:07:53,418 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 13:07:53,418 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 13:07:53,428 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 13:07:53,428 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-21 13:07:53,441 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-21 13:07:53,441 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 13:07:53,452 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-icon" at index "0"
2026-01-21 13:07:53,453 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 13:07:53,463 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-21 13:07:53,463 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 13:07:53,474 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-21 13:07:53,474 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no results"
2026-01-21 13:07:53,484 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-21 13:07:53,484 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 13:07:53,500 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-21 13:07:53,500 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Results from the load test pipeline will be displayed here"
