2025-12-24 17:24:00,339 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-24 17:24:01,681 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-24 17:24:01,681 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:01,708 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-24 17:24:01,708 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2025-12-24 17:24:01,719 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-24 17:24:01,719 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-12-24 17:24:01,727 | BUTTON | INFO | Checking that button "Create course" is disabled
2025-12-24 17:24:01,727 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-24 17:24:01,736 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-24 17:24:01,736 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-24 17:24:01,745 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-24 17:24:01,745 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-24 17:24:01,753 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-24 17:24:01,753 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-24 17:24:01,761 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-24 17:24:01,761 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-24 17:24:01,770 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-24 17:24:01,770 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2025-12-24 17:24:01,778 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-12-24 17:24:01,778 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2025-12-24 17:24:01,789 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2025-12-24 17:24:01,789 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2025-12-24 17:24:01,807 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-12-24 17:24:01,807 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-24 17:24:01,817 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-12-24 17:24:01,817 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2025-12-24 17:24:01,826 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-12-24 17:24:01,826 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2025-12-24 17:24:01,834 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-12-24 17:24:01,834 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2025-12-24 17:24:01,843 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:01,843 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2025-12-24 17:24:01,852 | INPUT | INFO | Check that input "Title" has a value ""
2025-12-24 17:24:01,853 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:01,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:01,862 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2025-12-24 17:24:01,871 | INPUT | INFO | Check that input "Estimated time" has a value ""
2025-12-24 17:24:01,871 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:01,880 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:01,880 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
2025-12-24 17:24:01,889 | TEXTAREA | INFO | Check have textarea "Description" to value
2025-12-24 17:24:01,889 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:01,899 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-24 17:24:01,899 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2025-12-24 17:24:01,910 | INPUT | INFO | Check that input "Max score" has a value "0"
