2026-01-21 06:08:16,832 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:08:18,371 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:18,372 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:08:18,428 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:18,428 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:08:18,446 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:18,446 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:08:18,501 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:18,501 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:08:18,530 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:18,530 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:08:18,658 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:18,659 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:08:18,713 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:08:18,713 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:08:18,939 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:18,939 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:19,499 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:08:19,499 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-01-21 06:08:19,533 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:08:19,533 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:08:19,559 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
