2026-01-20 19:33:10,491 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-20 19:33:11,834 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-20 19:33:11,834 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-20 19:33:11,875 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-20 19:33:11,875 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-20 19:33:11,890 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-20 19:33:11,891 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-20 19:33:11,903 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-20 19:33:11,903 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-20 19:33:11,917 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-20 19:33:11,917 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-20 19:33:11,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 19:33:11,932 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 19:33:11,944 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-20 19:33:11,944 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-20 19:33:11,961 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 19:33:11,961 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-20 19:33:11,978 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-20 19:33:11,979 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-20 19:33:11,996 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-20 19:33:11,996 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-20 19:33:12,011 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-20 19:33:12,011 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-20 19:33:12,027 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-20 19:33:12,027 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 19:33:12,052 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-20 19:33:12,052 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-20 19:33:12,073 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-20 19:33:12,073 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-20 19:33:12,094 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-20 19:33:12,094 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-20 19:33:12,106 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 19:33:12,106 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-20 19:33:12,121 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-20 19:33:12,121 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-20 19:33:12,132 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 19:33:12,133 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-20 19:33:12,142 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-20 19:33:12,143 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-20 19:33:12,154 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-20 19:33:12,154 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
