2026-01-21 13:07:34,401 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 13:07:35,462 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:35,462 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 13:07:35,506 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 13:07:35,506 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 13:07:35,517 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:35,518 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-21 13:07:35,555 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 13:07:35,555 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-21 13:07:35,570 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 13:07:35,570 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 13:07:35,638 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:35,638 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 13:07:35,651 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 13:07:35,651 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
