2026-01-21 13:07:43,501 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 13:07:44,811 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-21 13:07:44,811 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-21 13:07:44,899 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-21 13:07:44,948 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:44,950 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-21 13:07:44,971 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:44,971 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-21 13:07:44,985 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:44,985 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-21 13:07:44,994 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:44,994 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-21 13:07:45,004 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:45,004 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-21 13:07:45,012 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:45,012 | INPUT | INFO | Checking that input "Password" has a value ""
