2026-01-21 13:07:47,677 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 13:07:48,809 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:48,809 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 13:07:48,894 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:48,894 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 13:07:48,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:48,932 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 13:07:49,018 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:49,019 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 13:07:49,058 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:49,058 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 13:07:49,139 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:49,139 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 13:07:49,190 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 13:07:49,190 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 13:07:49,398 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:07:49,398 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:49,715 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:07:49,715 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
