2026-01-20 19:32:55,006 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 19:32:56,356 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:56,356 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-20 19:32:56,530 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 19:32:56,530 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-20 19:32:56,607 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:56,607 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-20 19:32:56,771 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 19:32:56,771 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-20 19:32:56,822 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 19:32:56,822 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 19:32:57,108 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:57,108 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 19:32:57,147 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 19:32:57,147 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
