2026-01-20 18:20:40,031 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 18:20:41,121 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:41,121 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-20 18:20:41,163 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-20 18:20:41,163 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-20 18:20:41,175 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:41,175 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-20 18:20:41,210 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-20 18:20:41,210 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-20 18:20:41,225 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-20 18:20:41,226 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-20 18:20:41,298 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 18:20:41,298 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-20 18:20:41,310 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-20 18:20:41,310 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
