2026-01-21 06:30:48,838 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:30:49,744 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:49,745 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:30:49,814 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:30:49,815 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:30:49,827 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:49,827 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:30:49,853 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:30:49,854 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:30:49,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:49,862 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:30:49,882 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:30:49,882 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:30:49,892 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:30:49,892 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:30:50,626 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-21 06:30:51,723 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:30:51,723 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:30:51,764 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:30:51,765 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:30:51,781 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:30:51,781 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:30:51,800 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:30:51,800 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:30:51,816 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:30:51,816 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:30:51,838 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:51,838 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:30:51,858 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:51,858 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:30:51,876 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:30:51,877 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:30:51,894 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:30:51,895 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:30:51,911 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:51,911 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:30:51,927 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:51,928 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 06:30:51,941 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 06:30:51,941 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:30:51,954 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-01-21 06:30:51,954 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:30:51,969 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:51,969 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:30:51,981 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-01-21 06:30:51,981 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Dashboard"
2026-01-21 06:30:51,995 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-01-21 06:30:51,995 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:30:52,015 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:30:52,015 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 06:30:52,029 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:30:52,029 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-21 06:30:52,039 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-21 06:30:52,040 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:30:52,059 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-icon" at index "0"
2026-01-21 06:30:52,059 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 06:30:52,072 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-21 06:30:52,072 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:30:52,089 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-title-text" at index "0"
2026-01-21 06:30:52,090 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "There is no results"
2026-01-21 06:30:52,099 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-21 06:30:52,099 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:30:52,108 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-empty-view-description-text" at index "0"
2026-01-21 06:30:52,108 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Results from the load test pipeline will be displayed here"
