2026-01-20 18:20:48,421 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-20 18:20:49,612 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-20 18:20:49,612 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-20 18:20:49,726 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-20 18:20:49,781 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:49,781 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-20 18:20:49,818 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-20 18:20:49,819 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-20 18:20:49,833 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:49,834 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-20 18:20:49,845 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-20 18:20:49,846 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-20 18:20:49,854 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:49,854 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-20 18:20:49,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-20 18:20:49,862 | INPUT | INFO | Checking that input "Password" has a value ""
