2026-01-21 06:08:27,399 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:08:28,412 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:28,413 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:08:28,449 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:08:28,450 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:08:28,459 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:28,459 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:08:28,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:08:28,476 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:08:28,484 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:28,484 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:08:28,507 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:08:28,507 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:08:28,514 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:08:28,514 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:08:28,857 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2026-01-21 06:08:30,290 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:08:30,290 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2026-01-21 06:08:30,321 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-01-21 06:08:30,322 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2026-01-21 06:08:30,331 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:08:30,331 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2026-01-21 06:08:30,341 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-01-21 06:08:30,341 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2026-01-21 06:08:30,351 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-01-21 06:08:30,351 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:08:30,363 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:30,363 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:08:30,374 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:30,375 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Logout"
2026-01-21 06:08:30,383 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-01-21 06:08:30,383 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
2026-01-21 06:08:30,391 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-01-21 06:08:30,391 | BASE_ELEMENT | INFO | Checking that icon "Sidebar" is visible
2026-01-21 06:08:30,400 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:30,400 | BASE_ELEMENT | INFO | Checking that text "Sidebar" is visible
2026-01-21 06:08:30,409 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-01-21 06:08:30,410 | BASE_ELEMENT | INFO | Checking that text "Sidebar" has text "Courses"
2026-01-21 06:08:30,417 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-01-21 06:08:30,417 | BASE_ELEMENT | INFO | Checking that button "Sidebar" is visible
