2026-01-21 06:23:38,558 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:23:40,245 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:40,245 | INPUT | INFO | Fill input "Email" to value "  "
2026-01-21 06:23:40,307 | UI_COVERAGE_TRACKER_STORAGE | INFO | Results directory does not exist, creating: /home/runner/work/autotests-ui/autotests-ui/coverage-results
2026-01-21 06:23:40,308 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:23:40,308 | INPUT | INFO | Checking that input "Email" has a value "  "
2026-01-21 06:23:40,355 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:40,356 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:23:40,455 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:23:40,455 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:23:40,483 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:23:40,484 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:23:40,614 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:40,614 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:23:40,641 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:23:40,641 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
