2025-12-24 17:24:03,072 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-12-24 17:24:04,286 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-24 17:24:04,286 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:04,325 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-12-24 17:24:04,325 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2025-12-24 17:24:04,337 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-24 17:24:04,337 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-12-24 17:24:04,349 | BUTTON | INFO | Checking that button "Create course" is disabled
2025-12-24 17:24:04,349 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-24 17:24:04,364 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-12-24 17:24:04,365 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-12-24 17:24:04,378 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-24 17:24:04,378 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-24 17:24:04,391 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-12-24 17:24:04,391 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2025-12-24 17:24:04,403 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-12-24 17:24:04,403 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2025-12-24 17:24:04,418 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
