2026-01-28 05:44:30,395 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-28 05:44:31,694 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-28 05:44:31,694 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-28 05:44:31,776 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-28 05:44:31,822 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:31,822 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-28 05:44:31,846 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:31,847 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-28 05:44:31,864 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:31,864 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-28 05:44:31,878 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:31,878 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-28 05:44:31,889 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:31,890 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-28 05:44:31,898 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:31,898 | INPUT | INFO | Checking that input "Password" has a value ""
