2026-01-21 06:49:30,534 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:49:31,596 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:49:31,596 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:49:31,638 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:49:31,638 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:49:31,661 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:49:31,661 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-21 06:49:31,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:49:31,702 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-21 06:49:31,721 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:49:31,721 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:49:31,792 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:49:31,792 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:49:31,809 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:49:31,809 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
