2026-01-21 13:07:54,262 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 13:07:55,410 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 13:07:55,410 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:55,456 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 13:07:55,456 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-21 13:07:55,477 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 13:07:55,477 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 13:07:55,498 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-21 13:07:55,498 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 13:07:55,530 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 13:07:55,530 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 13:07:55,547 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:55,547 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:55,564 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 13:07:55,565 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 13:07:55,583 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:55,583 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 13:07:55,601 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 13:07:55,601 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 13:07:55,615 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 13:07:55,615 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 13:07:55,628 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
