2025-12-24 17:23:42,380 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-12-24 17:23:43,939 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-12-24 17:23:43,940 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:44,018 | INPUT | INFO | Check that input "Email" has a value "user.name@gmail.com"
2025-12-24 17:23:44,018 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-12-24 17:23:44,242 | INPUT | INFO | Fill input "Password" to value "  "
2025-12-24 17:23:44,242 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:44,426 | INPUT | INFO | Check that input "Password" has a value "  "
2025-12-24 17:23:44,426 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-12-24 17:23:44,624 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-12-24 17:23:44,624 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-12-24 17:23:44,773 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:44,773 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-12-24 17:23:44,811 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-12-24 17:23:44,811 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
