2026-01-21 13:07:45,222 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 13:07:46,550 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:46,550 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 13:07:46,615 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:46,615 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 13:07:46,634 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:46,634 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 13:07:46,728 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:46,730 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 13:07:46,766 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:46,766 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 13:07:46,859 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:46,860 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 13:07:46,899 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 13:07:46,899 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 13:07:47,023 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:07:47,024 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 13:07:47,239 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 13:07:47,239 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
