2026-01-21 06:23:54,582 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-01-21 06:23:55,817 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:23:55,818 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:23:55,865 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 06:23:55,865 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:23:55,882 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:23:55,883 | INPUT | INFO | Fill input "Username" to value "username"
2026-01-21 06:23:55,936 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 06:23:55,937 | INPUT | INFO | Checking that input "Username" has a value "username"
2026-01-21 06:23:55,975 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:23:55,976 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:23:56,064 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 06:23:56,065 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:23:56,111 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-01-21 06:23:56,111 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-01-21 06:23:56,206 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:23:56,206 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:23:56,384 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2026-01-21 06:23:56,384 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
