2026-01-21 13:07:41,773 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 13:07:42,916 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-21 13:07:42,917 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-21 13:07:42,975 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-21 13:07:43,002 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:43,002 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-21 13:07:43,016 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-21 13:07:43,016 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-21 13:07:43,025 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:43,025 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-21 13:07:43,036 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-21 13:07:43,036 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-21 13:07:43,045 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:43,045 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-21 13:07:43,052 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-21 13:07:43,053 | INPUT | INFO | Checking that input "Password" has a value ""
