2026-01-24 12:29:36,975 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-24 12:29:38,397 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-24 12:29:38,397 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-24 12:29:38,453 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-24 12:29:38,453 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-24 12:29:38,541 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-24 12:29:38,542 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-24 12:29:38,557 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-24 12:29:38,557 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-24 12:29:38,578 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-24 12:29:38,578 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-24 12:29:38,591 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-24 12:29:38,591 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-24 12:29:38,604 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-24 12:29:38,604 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-24 12:29:38,619 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-24 12:29:38,619 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-24 12:29:38,636 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-24 12:29:38,636 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-24 12:29:38,680 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-24 12:29:38,680 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-24 12:29:38,730 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-24 12:29:38,730 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
