2026-01-21 06:30:34,837 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:30:36,684 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:30:36,684 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:30:36,758 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:30:36,758 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:30:36,835 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:30:36,836 | INPUT | INFO | Fill input "Password" to value "  "
2026-01-21 06:30:36,982 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:30:36,982 | INPUT | INFO | Checking that input "Password" has a value "  "
2026-01-21 06:30:37,013 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:30:37,013 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:30:37,216 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:30:37,217 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:30:37,226 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:30:37,227 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
