2026-01-28 05:44:16,386 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-28 05:44:17,739 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:17,740 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-28 05:44:17,799 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-28 05:44:17,799 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-28 05:44:17,839 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:17,839 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-28 05:44:17,911 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-28 05:44:17,912 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-28 05:44:17,937 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-28 05:44:17,938 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-28 05:44:18,059 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:18,059 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-28 05:44:18,090 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-28 05:44:18,090 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
