2026-01-28 05:44:40,373 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-28 05:44:41,523 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-28 05:44:41,523 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:41,561 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-28 05:44:41,561 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-28 05:44:41,622 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:41,623 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:41,643 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-28 05:44:41,643 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-28 05:44:41,661 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:41,661 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-28 05:44:41,674 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-28 05:44:41,674 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-28 05:44:41,686 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-28 05:44:41,686 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-28 05:44:41,696 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-28 05:44:41,696 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-28 05:44:41,705 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-28 05:44:41,706 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-28 05:44:41,727 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:41,727 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-28 05:44:41,763 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-28 05:44:41,764 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-28 05:44:41,777 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:41,777 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-28 05:44:41,812 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-28 05:44:41,813 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-28 05:44:41,825 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-28 05:44:41,825 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:41,861 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-28 05:44:41,861 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-28 05:44:41,872 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:41,872 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-28 05:44:41,899 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-28 05:44:41,899 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-28 05:44:41,911 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:41,911 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-28 05:44:41,945 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-28 05:44:41,945 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-01-28 05:44:41,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-28 05:44:41,964 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-28 05:44:42,086 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-28 05:44:42,086 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-28 05:44:42,117 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-28 05:44:42,117 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-28 05:44:42,137 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-28 05:44:42,138 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-28 05:44:42,154 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-28 05:44:42,154 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-28 05:44:42,183 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-28 05:44:42,183 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-28 05:44:42,197 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-28 05:44:42,198 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-01-28 05:44:42,212 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-28 05:44:42,212 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
