2026-01-21 06:08:16,832 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-21 06:08:18,455 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:08:18,455 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-01-21 06:08:18,550 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-01-21 06:08:18,551 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2026-01-21 06:08:18,594 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:08:18,594 | INPUT | INFO | Fill input "Password" to value "password"
2026-01-21 06:08:18,761 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-01-21 06:08:18,762 | INPUT | INFO | Checking that input "Password" has a value "password"
2026-01-21 06:08:18,801 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-01-21 06:08:18,802 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-01-21 06:08:18,990 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:08:18,990 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-01-21 06:08:19,006 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-01-21 06:08:19,006 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
