2026-01-28 05:44:32,002 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-01-28 05:44:33,224 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-01-28 05:44:33,225 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-01-28 05:44:33,311 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-01-28 05:44:33,348 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:33,348 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-01-28 05:44:33,386 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-01-28 05:44:33,386 | INPUT | INFO | Checking that input "Email" has a value ""
2026-01-28 05:44:33,417 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:33,418 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-01-28 05:44:33,436 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-01-28 05:44:33,436 | INPUT | INFO | Checking that input "Username" has a value ""
2026-01-28 05:44:33,458 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:33,458 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-01-28 05:44:33,476 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-01-28 05:44:33,476 | INPUT | INFO | Checking that input "Password" has a value ""
