2026-01-21 06:24:03,230 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:24:04,387 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2026-01-21 06:24:04,387 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:24:04,416 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:24:04,416 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:24:04,455 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:24:04,455 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:24:04,465 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:24:04,466 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:24:04,480 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:24:04,480 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:24:04,490 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:24:04,490 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:24:04,501 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:24:04,501 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:24:04,509 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2026-01-21 06:24:04,509 | BASE_ELEMENT | INFO | Checking that button "Remove" is visible
2026-01-21 06:24:04,518 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2026-01-21 06:24:04,518 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:24:04,540 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:24:04,540 | INPUT | INFO | Fill input "Title" to value "Playwright"
2026-01-21 06:24:04,573 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:24:04,573 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2026-01-21 06:24:04,588 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:24:04,588 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-01-21 06:24:04,640 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:24:04,640 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-01-21 06:24:04,655 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2026-01-21 06:24:04,656 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:24:04,706 | TEXTAREA | INFO | Check have textarea "Description" to value "Playwright"
2026-01-21 06:24:04,706 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:24:04,724 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:24:04,725 | INPUT | INFO | Fill input "Max score" to value "100"
2026-01-21 06:24:04,767 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:24:04,767 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-01-21 06:24:04,783 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:24:04,783 | INPUT | INFO | Fill input "Min score" to value "10"
2026-01-21 06:24:04,826 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:24:04,827 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-01-21 06:24:04,843 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:24:04,843 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-21 06:24:04,970 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:24:04,970 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 06:24:05,010 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:24:05,010 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-21 06:24:05,022 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-21 06:24:05,022 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:24:05,038 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-21 06:24:05,038 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:24:05,074 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 06:24:05,074 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:24:05,090 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 06:24:05,090 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright"
2026-01-21 06:24:05,103 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 06:24:05,103 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-01-21 06:24:05,116 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 06:24:05,116 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 100"
2026-01-21 06:24:05,129 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-01-21 06:24:05,129 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-01-21 06:24:05,144 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-01-21 06:24:05,145 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2026-01-21 06:24:05,158 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-01-21 06:24:05,158 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-01-21 06:24:05,171 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-01-21 06:24:05,171 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2026-01-21 06:24:05,182 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2026-01-21 06:24:05,182 | BASE_ELEMENT | INFO | Clicking button "Menu"
2026-01-21 06:24:05,280 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-01-21 06:24:05,280 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2026-01-21 06:24:05,307 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2026-01-21 06:24:05,308 | BASE_ELEMENT | INFO | Clicking button "Edit"
2026-01-21 06:24:05,675 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:24:05,675 | INPUT | INFO | Fill input "Title" to value "New Playwright"
2026-01-21 06:24:05,747 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:24:05,747 | INPUT | INFO | Checking that input "Title" has a value "New Playwright"
2026-01-21 06:24:05,788 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:24:05,789 | INPUT | INFO | Fill input "Estimated time" to value "3 weeks"
2026-01-21 06:24:05,882 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:24:05,882 | INPUT | INFO | Checking that input "Estimated time" has a value "3 weeks"
2026-01-21 06:24:05,908 | TEXTAREA | INFO | Fill textarea "Description" to value "New Playwright"
2026-01-21 06:24:05,909 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:24:06,001 | TEXTAREA | INFO | Check have textarea "Description" to value "New Playwright"
2026-01-21 06:24:06,002 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:24:06,020 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:24:06,020 | INPUT | INFO | Fill input "Max score" to value "1000"
2026-01-21 06:24:06,135 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-01-21 06:24:06,135 | INPUT | INFO | Checking that input "Max score" has a value "1000"
2026-01-21 06:24:06,168 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:24:06,168 | INPUT | INFO | Fill input "Min score" to value "100"
2026-01-21 06:24:06,250 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-01-21 06:24:06,250 | INPUT | INFO | Checking that input "Min score" has a value "100"
2026-01-21 06:24:06,289 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:24:06,289 | BASE_ELEMENT | INFO | Clicking button "Create course"
2026-01-21 06:24:06,439 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:24:06,439 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2026-01-21 06:24:06,458 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2026-01-21 06:24:06,458 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2026-01-21 06:24:06,487 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2026-01-21 06:24:06,487 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:24:06,520 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-01-21 06:24:06,520 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-01-21 06:24:06,587 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 06:24:06,587 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:24:06,604 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-01-21 06:24:06,605 | BASE_ELEMENT | INFO | Checking that text "Title" has text "New Playwright"
2026-01-21 06:24:06,618 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 06:24:06,618 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-01-21 06:24:06,631 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-01-21 06:24:06,631 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 1000"
