2026-01-21 06:08:30,732 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-01-21 06:08:31,923 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:08:31,923 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-01-21 06:08:31,951 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-01-21 06:08:31,952 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-01-21 06:08:31,965 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:08:31,965 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2026-01-21 06:08:31,973 | BUTTON | INFO | Checking that button "Create course" is disabled
2026-01-21 06:08:31,973 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-01-21 06:08:31,983 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-01-21 06:08:31,983 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2026-01-21 06:08:31,995 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:08:31,996 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:08:32,004 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-01-21 06:08:32,004 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Tap on "Upload image" button to select file"
2026-01-21 06:08:32,013 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:08:32,013 | BASE_ELEMENT | INFO | Checking that text "Image upload info" is visible
2026-01-21 06:08:32,023 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-01-21 06:08:32,023 | BASE_ELEMENT | INFO | Checking that text "Image upload info" has text "Recommended file size 540X300"
2026-01-21 06:08:32,054 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-01-21 06:08:32,054 | BASE_ELEMENT | INFO | Checking that button "Upload" is visible
2026-01-21 06:08:32,071 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-01-21 06:08:32,071 | BASE_ELEMENT | INFO | Checking that icon "EmptyView" is visible
2026-01-21 06:08:32,088 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:08:32,089 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:08:32,107 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-01-21 06:08:32,107 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "No image selected"
2026-01-21 06:08:32,126 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:08:32,126 | BASE_ELEMENT | INFO | Checking that text "EmptyView" is visible
2026-01-21 06:08:32,140 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-01-21 06:08:32,140 | BASE_ELEMENT | INFO | Checking that text "EmptyView" has text "Preview of selected image will be displayed here"
2026-01-21 06:08:32,154 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:08:32,154 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2026-01-21 06:08:32,172 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-01-21 06:08:32,172 | INPUT | INFO | Checking that input "Title" has a value ""
2026-01-21 06:08:32,189 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:08:32,189 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2026-01-21 06:08:32,207 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-01-21 06:08:32,207 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2026-01-21 06:08:32,230 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-01-21 06:08:32,230 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
